TEXT,Sentiment
"Ajay gogavale sir voice magic  Vijay Gavande musical  magic
  listen in lockdown",2
Touching and appealing song to all marathi fellows,2
listening this song on loop in lockdown,2
I am from karnataka  Ajay atul my fav music director,3
Ase devache khup songs tayar kara mast vattat,3
    I Love this Song Jay Maharashtra,3
Masta,2
I love this song,3
The song is marvelous LYRICS superb singing Fantastic People who r not Farmer should feel the life of a farmer and respond to enhance their living,3
    dislike ,1
damkkkkkkadakkkk,3
me kannada hoo ye song hearttouching song nice song loved it,3
Motivation song  ,3
MASTERPIECE ,3
I cant understand marathi but I can feel  awesome song,3
"marathi song  M par
",2
ooo time salute for Ur voice ,3
Awesome Ajay ji  one of the best thing happened to Marathi music industry,3
Lock down me ye song kon kon sun raha hai please reply ,3
This song always inspire me,3
Devak kalaji re  and  Terri mitticlose to my heart,3
God bless my family  blessed all,3
Whenever you are feeling low just listen this song Deep Heart touching  Motivational Song KUDOS Ajay Gogavale Sir  Vijay Gavande for such a motivational Song,3
Ever n Forever Love this song  Voice,3
"hey strangers 
You have a good taste in music",2
Mind blowing,2
Heart touch song ,3
"Ek no gaan
Sarvat avdich 
Shetkary motivation",3
"Sir first time Im here to hear this song

Sir only one word HugeRespect ",2
Wow view crosses millions one of the most realistic song,3
Im glad that this song crossed m but this kind of song needs to get minimum m views I hope it will happen one day ,2
Im from rajasthan but pta nhi is song ki like aadat si ho gyi he daily sunta hu,3
Another goosebumps song by ajay atul ,3
His voice is melody itself ,3
Wat a singing Hats Off to Ajay ji Atul ji truely amazing,3
Marathi songs direct heart madhe jatat ,3
Maa kasam Rula Diya is gaane ne,3
"   music       

httpsyoutubeVIFGDyAJlFQ",2
 wed pahela mi he song pan man bharat Nahi,3
tears in my eays Awesome,3
Great wording and music ,3
no wordsthanks ajay sirguru thakurvijay gavande for creating such awsome creation,3
Hit like for Ajay sir your voice touches heart ,3
Kdkkkkk dada ,3
The best song I have heard ever,3
Mi Muslim pan gana aikun radu  yeto dewa sarwanchi  kalji ghey ,3
Marathi sarkhi God bhasha nahijay Maharashtra,3
Bhagwan ke gaane pe koi dislike kese kar sakta he vo jarur koi rakshas he jinko Marathi nhi pasand usme bhi bhagwan ko bich me laate ho I hate u people ,1
attached wid the song deva kalji re majhya deva kalji,3
Absolute masterpiece,3
no song waw,2
Incredible I can listen to this over and over again,3
I am Muslim but I like marathi song,3
khup chan ,3
Masterpiece of Ajay atul and besst Song of India  Cinema ,3
Puna puna mi Ron eykto song tumi pan kay,3
This song is really amazing and inspires me to live my entire life alone On one hand we say every moment second minute hour and day is very important and on the other hand this song states ho ude jara ushir Two years is very long span of time plus the environment I am living just blowing me to the next level This is how the encouragement is,3
That  Sanai  ,2
Kharch khup sudar song my favorite song,3
Ekdum khatarnak lyrics,3
"Wheri biwatifhul  song sar radu aal 
mala",2
fav song,3
Lyrics lai ch bhari,3
Close your eyes and fell the song ,2
Look at the views and likes for this songawesome,3
Congratulations  Million crossed ,3
Mujhe Marathi samjh nhi aati Par filling ko mahsoos karta hoo bahut saandar lag rha Ye song,3
Congratulations for M views,3
Beautiful sung,3
Lockdown madhe kon kon ayekat he song,2
"httpsyoutubeRFIRvIqY
Daru mangtay do seee",2
Corona pasun sarv jagach rakshan kar re baba deva tuka re kalji,3
Kadkkkkkkkk ,3
 million crossed ,2
"k dislike 
No sensitivity",1
Best song ever,3
 touch song,2
 Nice my favorite song ,3
Ekdam heart touching song,3
it give  me inspiration,3
" million views
More to go ",2
 shabd nahi maza kade ,1
"Ek number 
Awesome song
I like it very much
And listen to it again and again",2
 million wooooooo,2
Ajay Atul you are brilliant ,3
"Deva kalaji re deva kalaji re 
From Wadner Bholji Dist Buldana",2
Kuch samjha nahi but feeling ne impressed Kiya feeling has no language,3
kdkkkkkkkkkkkk,2
From an online source  I hope i got this correct I really love this song,3
Dewa kalji re,2
Never give up before Miracles ,2
The great Ajay Atul,3
Khup inspiration milate he song aikun really khup mast ahe song ,3
"Sadhya paristhith ya ganyachi punha ekda athvan aali
corona",2
Jabbardasst mindblowing,3
I like you Ajay Atul sir,3
FAV SINGER,3
Ajay ch he gaan aikal ki gaan sampuch naye as vatat Todach nay,3
Motivational song,3
  M   ,2
I dont know this languagestill touches core of my heart,2
My favorite song ,3
Jyaveli kahi situation bighadte tya veles me he song akte ani mla prt ak positive energy yete ani spirit yete ani prt Ada me jomane kamala lagte,3
Dil ko choo liya ,3
 Million ,2
Lyrics  Guru thakur,2
Khrac deva tulac kalgi aahe,3
No word this song Im Muslim like this lyric music,3
Heart touching song,3
best ,3
Kadak hai man teachingsong,3
Super  ,3
Inspirational song,3
Very feeling song Hart touch,3
Nice ur movee like tomuch ,3
Beautiful song apratim song,3
Khrch khup heartfull songs,3
 heart touching song,3
Love is sent bye me,2
Love u sound,2
Amazing,3
I am  from Uttar Pradesh Very Emotional  song   Very positive song   Khup CHAAN,3
Well done M crossed,3
What a beautiful powerful songthanks to the lyricist the lead singer the kids singing  music composers and everyone for this masterpiece motivational song Lovely,3
Very beautiful and inspiring song,3
 m views ,1
That song make me cry ,2
Powerful song What a lyrics   wording Touch to the hear,3
"Beautiful song 
Always hearing",3
My best ever Marathi song after lallati bhandar selute Ajay atul for these song,3
we can take care of our god,2
"I love this song very much
and kept it as a alarm tone
What a song reached  million views ",3
Repeat repeat and repeat,3
"UPSC          
     
       ",2
Motivational song,3
Jagat madhe Aassl ganna kadi nahi bag Etal super fantastic,3
Wow  What a song love from Karnataka ,3
Who else here after completing million views ,2
no ,1
Im from gujrat and i dont understand marathi but this song gives me goosebumps,3
Nice song a great motivation,3
Im from Karnataka I love this songjai Maharashtra jai bhavani jai Shivaji,3
Khup chan song ahe shabd nay majya Kade sangala pn dole andaashrune bhartat Ani Samadhan vatate,3
Devak kalji re,3
Great song ,3
Yes  devak kalaji devalach kalji ahebest song,3
 madye he gana kon aykat ahe like ,3
I will give  to lyrics,2
Frist class song,3
"Jisa ne bhi unlike ki ya he na usaki _________
Like karo best song in  India",2
"Kai
Gana
Ani
Tashach",2
God is great,3
This song  lines ,2
m views wow amazing,3
 deva  corona sankat jau de re,2
"I am still learning

Everyday  every hour  every minute  every second  every millisecond",2
Mi swata malvani aheKhup touch zal song manalaEka eka shabdacho arth khupach veglo aasa Khup avadla makaAsa vatta ki ajay sir pn malvnich aasatEvda mast vatta ha tyanchya tondat malvaniHats of u sirUr awesome alwaysClass  songg,3
Mitra ya ganyasarkh gan Nahi kuthla most amazing and inspiration song ever,3
icant understand Marathibutsongs make me cry love from karantaka,3
GOD IS SPIRIT    BIBLE VERSE JOHN   THE LION OF JUDAH CHURCH MARGAO GOA ,2
     What a lyricsNice inspirational songHit again,3
Aajay atul sir,2
Mazyakade Marathi film sathi changali script ahe,2
When I m sad I leason this song ,2
Weel done,2
Love this song love from gulbarga ,3
Kadakkhup sundar aahe he song and nice music Thx ya ganya sathi,3
Supr song sir mai muslim hu  mere abbu kashtakar hai pr lekin ye song mujhe bot bot pasand hai sir,3
Nice,3
HII,2
Deva kalji re mazhya deva kalji re,2
Hey gaan corona zhalelya majya badhawanna ghabru naka devak kalji tumhi ghabru naka lavkar bare honar tumhi hic prathna ,3
Muje kuch v smjh ni aaya but I feel it Ajay  Atul great musicion n singer I m from Rajasthan,3
Great job sir,3
Super ,3
This song touch my heart ,2
Kya lirics he yrr ,2
 million             ,2
"Hart touching song    
                  
              ",2
Heart Touching Song ,2
"Very sweet song
I loved it",2
Khup chaan gane aahe and Aawaj ,3
Go corona go,2
Ajay sir mstach mhnta raav gaana tumhi direct heart la touch krta ,3
Devt kalji gey Mala he gaan khup aavdt,3
 dew tela kon Mari ha gana all time blockbuster  marathi  jI maharashtra  majha,3
java tumla life nako vathe na he song aikcha Ani punha jorani aple aim Kade valaycha yail divas tuga magari geu nako  great song Atul Ajay sir heat up,3
Kkkkkkkkkkkkkkkkkkkkkkkkkkkiiiiiiiiiiii         c          kkn,2
Waa,2
Ha song mi roz aykto deva mala ani majhya deshala corona ni wachaw manun,3
Ajay Atul is my favorite,3
"   vedio                          
       ",2
Auo auo sab log pata Hai pakka corona se pareshan hoke aaye honge  Kyuki jab tak problem nahi aati tab tak god Deva chi aatvan yet nahi n ,1
Manla lagto yaar,2
Deva Kalaji shetkaryachi  ,2
 millions view   ,2
Mazya devakkaljire,2
Heart touching song ,3
Its like even if you gets the kingdom of nation or kingdom of world you got to have the capacities even to refuse the kingdom of nation and kingdom of world too powers is in your strength is in your capacities is in your abilities based on your strongest mind set,2
Kharechdeva aata tuch amachi kalaji ghe ,2
Aaaj mala khup majya gavchi athavn yete aheAmcho Gav boro  ja baba corono Amka moklo kar,2
SUPER SONG ,3
I love this song bcoz its motivation song we are life so i like this song very much ,3
Im an alien i live on Venus but i love marathi songs,3
The most  heart touching song,3
Soul touching song,3
Love you ajay atul sir,3
one of the best song,3
I love t deva kaljire,3
" Funny Videos   

httpswwwyoutubecomchannelUCbBGhZqJRJQDkmesstyg",2
ekach no,3
Me akte br,2
Dewak kalaj re,2
Masterpiece ,3
This song is  dedicated  to India  for Corona ,2
Deval a mazikaljiahe,2
Bhava aangavar Kate yet,3
                   nice song,3
As kute gan ast ka devak kaliji re hahahahaha,2
Very Imostional  Superb Song,3
"Aata he pan aika man prassan 
httpsyoutubeSlqPlDXR",2
Wow,2
Energetic,3
Mala ek Kalat Nahi  k dislike Ka Kay wait ahe ya ganyat Ka tumhi jalat ahe song lihinara va ganaryavar ,1
Mood off,1
Deva kalji re,2
Please let me give to see if we are going through a school in i and I am not able and willing and email it all the other i and intended only for typos courtesy of the following URL Adobe systems and email me at the following URL Adobe flash,2
                                I love your voice ,3
"httpsyoutubexbsLjCVo

Bhawano plz support kra majhya song la plzz  ekwira aai che song ahe chillout remix ",2
Deva kalaji re,2
Bhayya Super No  song music  awaz shabd,3
I love this song,3
Peoples who are saying Bharat wont do anything in his life those peoples are right because Bharat dont want to do anything in his life,1
 millions viewsNiCe to see,2
Amma I love yo,3
Nice and motivational song ,3
Ek positive Shakti he gane dete,3
"Dude some serious masterpiece are developed by marathies
I will learn marathi very soon",2
its like Peace_on_mind phenomena  daysnights  every day every night every hour every minute every second every millisecond is needed In order to make things run smoothly,2
Million likes to this song ,2
"I am from tamilnadu
I am big fan of Ajay atul music marathi songs",2
Unlike kasa Kay karu shaktat he gana,2
Song,2
Ajay Atul time is back,2
Anek jiv vachavlet tu he vaakya bolun,2
I like this song to much And love you Ajay Atul,3
 million views  congrats team,2
What a song ,2
Nci,2
Great,3
Sarvanchi kalaji ghe re deva,2
 Million Purn,2
Mpsc               ,2
             httpsyoutubeMTdj_mGrLc   ,2
Ekk number nice song,3
Emotional song ,2
Kharch khup sudar song my Fevo,3
Khupch Sundar Chan,3
 Stay Home,2
Im from Andhra From sairat I follow Ajay athul sir songs What a music haysoff sir pride of Indian music in  Every song Soo much emotions great,3
Heart Touch me,2
Hii nagesh,2
"Nice song  I Love this song
Please tel me move name",2
                           reality    ,2
gaana ektana radu yetaynice song,3
"httpsyoutubeXTxHsDhNaIc

Jar tumhala aavdel tr nakki subscribe karayla visru nako",2
I love you video ,3
Woooa  millians views   jai marathi jai kannada,3
fight against corona,3
Congrats for  million views,3
All time favorite song,3
Khup chaan sirsong,3
Great songofMarathi,3
Very  nice  song  Ajay  sar,3
Kona Kona chya he gan yekalyavar dolyat pani yete,2
Maine ye song aaj dekha My god sun ne me jitna dil ko chhu jata h Dekhne me bhi utna emotional aur touching h Khud b khud aasu aa hi jate h,3
Me he gan roj akto karan maz gavala ghar nhai ahe pan mete akda jarur ghein karan maza devak kalji,3
Song marathi movie nav,2
awesome song forever,3
Super song ,3
Lai sad song ahe,1
Garet,2
I love u sir,3
Nice song ,3
"Maharashtra jalgon se Kon hai
A
Or Marathi hit like",2
Very Heart Touching ,3
Jay shivrayaaaaaaaa,2
Great musician singar ajay sir,3
"Good  
",3
Big fan ajay sir,3
Heart touch song,3
aankho se aansu aaye bina nhi rah ska har baar best song of marathi films,3
Hii ,2
" touching song 
Bar bar sunne ka man karta hai ",3
Vijay Gawande Sir Superb,3
"Jjam bhari gaan 
Manala pilavun taknare geet 
Super  hittttttttttyt
Mi  bhiwandi  cha  porya ",2
Aaj first time aaiklo haa song ,2
Dewalach kalji amchi corona pasun wachaw,2
I didnt understand word but song was superb ,3
Prafulkadamgmailcom,2
Mazya vadilnchi atvan yete theva he gane aikto,3
Shabd nyt mazyakadejabardst gana aheji loka manane khachleli ahettyani kharach he gana aikayla payje,2
Ajay Atul Sir Marathi Song Che Apan Super Gayak Ani Sangit Che King Ahe,3
   Credit goes to                   All the best team ,2
Mi roj aykto sir nice song,3
Maza  nigadit song  ahe ,3
Waw,2
   disklike                          ,1
Deva la kadji ry mazhya deva kadji ry,2
"I form haryanavi 
Nice song  maharastra",2
Jagat madhe Aala ganna,3
Ganpati Bappa morya,3
Marathi ek jiv aahe,2
Congratulations for M views,3
Amhi nashibvan ahe amala marathi samjat nai samjnarynch vait vat ta itk chan song nai samjt titk,3
Congrats on your m views,3
Seema ,2
"Mashallah 
Kya gaana banaya hai Dil khush kardiya",2
Apratimsong,2
Guru sir hats off tu youKY bol ahemahol,3
 million view complete,2
Ehat a song written by Guru Thakurajay siractorsof course my beautiful konkan,3
Ya ganyatun iagnyasathi prena milte,3
Im not a marathi fan but I think ajay atul is great sometimes even awesome thn rahaman sir,3
Superb song Superb Music  Superb words Superb Voice  ,3
No challenge song,1
Proud to be Marathi ,3
Video Nokorefilm takbule,3
Anybody please post its meaning Plz,2
Beautiful song,3
Khup sunder song ahe  negative vichar jaun navin umed yete,3
I m from China now  I like marathi songs Ajay Atul,3
Very good song by Atul sir,3
World first famous video,2
Kdhich evdha bhari song kaljala bhidla nahi salute sir,3
Mi devala manat ny tari pn mala he gaana khup avadly,3
Super Sar ,3
Ye song dil ko chu leta he,3
"Dole bharun aale Speechless
 M views for marathi songSuperb
It gives you lots of confidence in any situation",2
"httpsyoutubeAXmqdJU 

    ",2
"Though both are labelled motivational songs  Apna Time aayega is backed by Optimism while Devak Kalji re is a reflection of the harshest face of life 
Trust me you have reached the lowest point if DKR hits you harder than ATA",2
           nice voice sir thanks,3
Great song,3
Nice ,3
Shubham jadhao,2
Beautiful song,3
aap ka awaj bahot acch hai,3
Kadak,3
Beautiful song,3
after M,2
Dewa Tu kajiye ga mazie,2
Suppppp song,3
Khup Chan,3
Mla khup aavdte songs,3
Bhai Hindi Version Le Aao is Song me,2
Mujhe ise song ka kuch smj ni ataa magar voice is superb,3
Kharach lockdown la shobhata he gaanna mla fhar aawadte,2
 lovely,3
Nice song sir my faovrite song,3
D,2
Hi in u,2
Nice ,3
One of best complete M Views,3
Allah sabki hifajat farma chahe hind ho ya muslim,3
Ajay atul Che nahe,1
Very nice And hart touching this song ,3
Dokkk badhir hoto tymcha aawaj aiklyavr superbbbbbbbbbbb khup mst sir,3
Very nice music composer,3
Awesome,3
Ha ek no,3
Jabardst song,3
Marathi picture real story jayasa lagta hay  I love Marathi  Jay Maharashtra ,3
Aaj he song khupach spirit detey,3
Jay Maharashtra,3
Wow,2
Happy my song,3
Kokani bhasha  words devak kalji re are commonly use in our kokan,2
 M views wow hit like,2
Khup sunder,3
Kharokhar devala kalji aahe,3
httpsyoutubegxENBHxXtE,2
love it song,3
Khupach sundar gana,3
Which movie,2
Best motivational song ever   ,3
Urja denare song so sweet,3
Khupch shan  song ,3
Great song,3
Hi,2
My favourite song,3
Ajay atul,2
Kaaaaadaaaak,3
I like me song,3
Mi Eek Jawan Aahe Sir Pan Roj He Gaane Eekto Jay Hind Sir,3
rose song yes,2
M views ,2
Nice line,3
My one of best  favorite Marathi song,3
Nice song  GOSONGaditya,3
Touching,2
deva vachv ya corona chya shktatun,2
 sirani              Superb sung superb music  superb lyrics n direction,3
Ayushat fakt ekch laksha ahe khup paise kamvun garibanchi Seva karne,3
Maza devraya khanderaya,3
Kdk aavaj,3
" billion      

 ",2
Khup chan Ajay you are born for giving joy through your songs,3
 M Congratulations Guru Thakur Ajay Gogavale  Vijay Sir ,3
Kiti mast aavaj aahe sirancha,3
Kharch he gane khup sunder ahe,3
I love Marathi songs,3
My favourite singer ajay,3
Nicely songs,3
i am not able to understand but awesome song really heart touching,3
Desh rorha h,1
Ajay atul sir hats of u,3
Devalch kadji ahe khar,3
Offfff mar jau kya itna drd Sai kuch kro na baba,1
httpsyoutubeVILQQUyjM,2
Sabhd nahi tumhala aawaj,3
what a song,2
Nice song ,3
" made kon kon ale ahet 
Like dya 
quarantineduringcorona",2
uper song   Mast git ahe,3
Bc dislikes kon kelay kaay mahiti,1
buntydophidoegmailcom,2
Khup Sundar Ajay Sir ,3
malltarkupawdty,2
Congratulations           ,3
I am here After Corona virus Effect All over World More than here Maharashtra Please Deva Help us,3
I cant understand the mentality of the dislikers The song is mesmerising for me,3
Greatsong,3
httpsyoutubeuOpKrQWBIM,2
Super songs in Marathi,3
We proud to be Marathijai Maharashtra,3
Language samajh main nahi aaya but music aur video dil ko chhu gaya,3
Nice song ,3
I love song Duniya me kabhi aisa song nahi Het of u sir,3
Khupach chan,3
Best song,3
Qa,2
East or West  Ajay sir is best    shan ,3
Pahil marathi song  million views,2
Iam sindhi but i know little bit marathi laungage but i like this song heart touching song,3
Ashtavinayaka cha raja var  song,2
"apratim lyrics guru thakur
apratim music vijay sir 
 ajay sir cha god awaj ajun kay pahije
awesome song",2
Aprtim rachna,2
Khupach chan,3
khup chan song,3
Masta,3
Love song,3
Am shaikh farukh job karto tari  Dubai marhti  manus hahy  tari  Jay Hind Maharashtra,3
Khup mast song ahe he,3
Bohot sahi banaye song i love song,3
Best,3
"Devaak Kalaji Re Lyrics from Redu

   
   ",2
Karni karega to nar se Narayan ban jayega,2
Best,3
Hii,2
super song ,3
Very emotional song  and also truth of farmer,3
Yein sonyache diwas aplya hindustan chekaran aplya dewala apli kalji aahe ,3
httpswwwyoutubecomchannelUCKZXFgEZWsjEzUmYFQ SUBSCRIBE KARA,2
Fakt angavar kata manala bhidate,3
Plzzz share kara pratyek vyaktilahttpsyoutubejoujiMamjO,2
Go Corona,3
Excellent Touchy song,3
Chan Aahe gan mala khup avadte,3
No ,1
Best,3
Devak kalgi re mazya devak kalgi re,2
Namskar me pune bolayoi sarvani please kalji ghya ghari raha,2
Dada tumla aj me namskar krto,2
Nice ,3
Who like this song like here,2
Ajay Atul sar asach prerna dai atmavishvas vadhvanar song chatrapati shivaji Ani chatrapati sambhi var banvana Karan donhi maharajani shunyatun swarajya nirman kela Ani ajchya pidila hyanchya ganyatun khup kahi milel,3
Nice Songs,3
Favorite marathi song  motivational too ,3
Rahul chavan,2
Nice voice,3
         Perfection,3
The  Real  song  for  human  being,3
Best  heart touching song,3
Mast he,3
He deva kahi vait mansanchi saja purn jagala nako deu Maaf kar mansala Amhi sudharlo ahot ani itarannahi sudhravu,3
my favourite Marathi song,3
Kdk,3
 milian veiws,2
Unlike wale bhiya Lok ahet vatay,1
Iam from Karnatak I dont know a single word of Marathi But iam still watching this song It means Language doesnt matter only feel the music Especially composed by Ajay and Atul Jai Kisan,2
Dislike karnar eyano tumchi lyki nhi Gana iik nyyachi,1
 M views,2
Super,3
Kon  kon  he  gana madhe aaykat ahe,2
" M views wow for superb marathi songgreat
Ajay Atul tumhi devdut ahatlokana dheer ani prerana milate ahe song madhunthanks for this and keep it up ",2
"         Best motivational video 

httpsyoutubeTBPNIRDDIkQ",3
Very nice ,3
nice sing,3
Deva,2
httpsyoutubeIjQnOhNUk,2
Osm song,3
Baryach divsan malvani gaana hila,3
supr,3
Mast video,3
Video palace  Marathi is great,3
Naice,3
Bhai,2
Jay Maharashtra,2
No,1
aaj prynt song nhi bnwla asa kni,1
Superrrrrrr,3
Its especially request to farmers do not  commit suicide You will get what do you want,3
Superb Vijay,3
Lockdown chy   ,2
Nice vice,3
Ganesh ,2
I like this song,3
Wow amezing song,3
I like it,3
Shupar,3
Dolaytun Pani aale ajay sir,2
k dislikes kon murkh lok ahet hi,1
Nice song,3
Hi,2
Agacha kata ubha rahto ashe gane aikun jai Maharashtra,3
Super,3
Kaalis chirla hya ganyana,3
Jakass,3
Super,3
L,1
Super,3
Osm,3
          ossam,3
"Me pan kup 
 Nice  song",2
I am from telangana what a soulful song yaargreat lyrics,3
Double like cha option Nahi mhanun mich  like Kele aste best cinematography best location best song,3
Really hurt touching song,3
Nice song,3
Good song,3
O nice,3
Masha Allah every beautiful song nice lyrics,3
hit like M views  like ,2
First marathi song that complete  Million views,2
Must,2
Man Mohun gheto  ha aavaj,2
Can someone tell me the meaning of devak kalji word,2
AVINASH,2
I love song ,3
Bht sundar song,3
who dislikes this song  mar jao sare gadho,1
Wow how nice song,3
Nice,3
Nice song,3
Hi,2
So super song,3
Nice songs,3
Me pan,2
Ko,2
I like song,3
Best song very good,3
Nice,3
Nice song,3
Mast hi  song,3
Nice,3
Nice,3
Nice song,3
Ajay sir hats off Really ur best singer in the world,3
Nice,3
Nice song,3
Nice song,3
Ek no song,3
Nice song,3
Nice,3
Nice and very emotional  song,3
Im from South India  really liked this song  music and visuals  trying to understand the meaning  addicted ,3
At,2
Jase lahan mulana aai vadil sanskarit kartat tasech aplya maybapane aplyala shiksha dili ani Ithun pude manvatla me pana jaun manus ha bhramand pudhe ek shullak prani ahe yachi janiv rahil ani paropkari hoyil eka ani bharat jagala madat karel corona sarkhya sankatatun jagala vachvel devachya rupane ghabaru naka dev ahe sobat bharatya jagat sanatan dharmachi sthapana karun eka navya yugachi sthapana hote ahe ani lavkarch bharatvarsh mhnun bhartala sambhodhle janar ahemanus ata mansarkha vagnar ahedevavar vishwas theva sari devak kalaji ahe,3
nice songs,3
Nice,3
Police ka viral video dekhne ke bad kaun kaun aaya ye song sun ne,2
Nice song,3
Nice,3
Nice song,3
Super songs,3
Very nice supr you,3
Nice song,3
 ka full form kisko samjha like karo,2
"Nice song ajay sirgreat job
       ",3
I love song,3
Nice song,3
Nice song,3
somehting is it in  different voice his songs direct touch it is in  heart ,3
Nice song,3
Nice song,3
Khup chan song aahe,3
Bhai song bhau,3
khup Chan aahe song,3
Anyone in December ,2
  dislike              dislike                          ,1
Who is upsc aspirant herelike this,2
This song gave me so much calmness when am tens ,3
God gifted singer and musicians,3
    like,2
Bohat HarD Sir ji,2
Just here for daily dose of Devak Kalji  If youre reading this god bless you,2
Hindi madhe Arijit la aani Marathi madhe Ajay la Challenge nay rao,2
 dislike Pakistani ahet sale,1
I am proud that I am the son of a farmer,3
Salute to Ajay  atul What a composition,3
Deva kalji ghe re tuzya lekranchi aaj ajun konach tri swapn tuttey,3
Super voice,3
kaddddjk broo mack a son,3
My  heart failt,2
Kon kon inspiration ghet ahe  madhe pn hya song pasun,3
Best song  ,3
Mr Ajay Super voice ,3
Oosmmm,3
     Million views ,2
Ajay  Best Marathi singer of this decade,3
No Challenge yrr,1
    million ,2
"Really heardtouch song 
But I dont know what is the meaning of this song ",2
I love this song,3
 kon yekat ahe ,2
"Sir tumchya ganya mule 
Kachun jau sakat nahi
Kam karat rahache 
Aj nahi pan udya tari nit hoil sarv",2
shem on you disliker,1
Excellent song,3
Best motivational song ,3
 for Ajay G,2
Aaj mla ya ganyach khara aathr samajla,2
Ajay atul sirji U both rock Superb,3
nice ,3
kon kon  january madhye aale aahet,3
Sharper,2
Ajay atul natar Marathi madhe vijay gavande best Music director,3
I didnt get the meaningbut his voice really soulfulblessings,3
Mind blowing I love Marathi more than hindi,3
       music    Kadakkkkkkkkk,3
my bld it ws u who introduced me to this songnot getting meaningsoo much pain and now u left me,2
I love marathi songsWe as Maratha should do soGod the ultimateis in our heart and soul,3
I like an i love this song,3
Ajay gogavale  nice voice ,3
Best song ever,3
Aajchya ya gayi gadbadi chya divsan madhe Ashi Gani aikali ki man shant hot khup Chan vatat,3
Angaala kaata aalakaay gaane aahe he,3
God of MUsic,3
From igatpuri ahe ka koni,2
Also good morning,2
Maze fvrt singer ,3
Mi Rajgond mala gana aikun radu yatoy Deva sawranchi kalaji ghey ,3
What a song yrr very heart touching,3
One like for Ajay,2
Beautiful  songs marathi  lokani pahile pahije,3
Apratimmmmm,2
Goosebumps,2
I like ajay atul,3
I love this song  my favorite singer Ajay atul,3
Beautiful song,3
               jay ,2
Sujal,2
My favorite,3
Wow,2
 lyrics   demotivated feel hota jevha he song aikte mi,1
Than you,2
Best song,3
Best marathi song,3
kamal kiya,3
Nice voice,3
Beautiful song,3
Naal,2
Khup khupch chan marathi song,3
Like this song,3
Kli,2
I like song,3
 million kadhi honar,2
Am big fan of Ajay Atul voice and music Am from Karnataka Kannadiga But am a Lambani Lambadi,3
Mast aahe song,3
I love songs,3
httpswwwyoutubecomchannelUCVMfqzduNEavriFuhcbTjwview_assubscriber,2
 million is near,2
Great super song,3
